ensembl_id,gene_symbol,alias,alias_norm,source
ENSG00000292358,GTPBP6,FLJ20977,flj20977,ensembl:human
ENSG00000292358,GTPBP6,PGPL,pgpl,ensembl:human
ENSG00000292334,SLC25A6,ANT3,ant3,ensembl:human
ENSG00000292334,SLC25A6,ANT3Y,ant3y,ensembl:human
ENSG00000292334,SLC25A6,MGC17525,mgc17525,ensembl:human
ENSG00000292357,CSF2RA,ALPHAGMR,alphagmr,ensembl:human
ENSG00000292357,CSF2RA,CD116,cd116,ensembl:human
ENSG00000292357,CSF2RA,CSF2R,csf2r,ensembl:human
ENSG00000288297,ECSCR,ARIA,aria,ensembl:human
ENSG00000288297,ECSCR,ECSM2,ecsm2,ensembl:human
ENSG00000288243,STING1,ERIS,eris,ensembl:human
ENSG00000288243,STING1,FLJ38577,flj38577,ensembl:human
ENSG00000288243,STING1,MITA,mita,ensembl:human
ENSG00000288243,STING1,MPYS,mpys,ensembl:human
ENSG00000288243,STING1,NET23,net23,ensembl:human
ENSG00000288243,STING1,STING,sting,ensembl:human
ENSG00000288243,STING1,TMEM173,tmem173,ensembl:human
ENSG00000292343,AKAP17A,721P,721p,ensembl:human
ENSG00000292343,AKAP17A,CCDC133,ccdc133,ensembl:human
ENSG00000292343,AKAP17A,CXYORF3,cxyorf3,ensembl:human
ENSG00000292343,AKAP17A,DXYS155E,dxys155e,ensembl:human
ENSG00000292343,AKAP17A,MGC39904,mgc39904,ensembl:human
ENSG00000292343,AKAP17A,SFRS17A,sfrs17a,ensembl:human
ENSG00000292343,AKAP17A,XE7,xe7,ensembl:human
ENSG00000292343,AKAP17A,XE7Y,xe7y,ensembl:human
ENSG00000292364,AMD1P2,AMD,amd,ensembl:human
ENSG00000292364,AMD1P2,AMD2,amd2,ensembl:human
ENSG00000292364,AMD1P2,AMDP1,amdp1,ensembl:human
ENSG00000292364,AMD1P2,AMDPX,amdpx,ensembl:human
ENSG00000292364,AMD1P2,AMDPY,amdpy,ensembl:human
ENSG00000292367,ELOCP24,TCEB1P24,tceb1p24,ensembl:human
ENSG00000292367,ELOCP24,TCEB1P25,tceb1p25,ensembl:human
ENSG00000292368,TRPC6P1,TRPC6L,trpc6l,ensembl:human
ENSG00000292368,TRPC6P1,TRPC6P,trpc6p,ensembl:human
